I0129 17:10:43.741147     1 daemon.cc:318] running in the foreground
I0129 17:10:43.741246     1 daemon.cc:319] no log will be generated; instead, the log messages will print to the terminal
I0129 17:10:43.741255     1 daemon.cc:320] provide "--daemon" on the command-line if you want to run in the background
I0129 17:10:43.765468     1 daemon.cc:368] starting new daemon from command-line arguments using 192.168.100.1:1982,192.168.100.2:1982,192.168.100.3:1982,192.168.100.4:1982,192.168.100.5:1982 as our bootstrap node
I0129 17:10:43.766252     1 daemon.cc:398] successfully bootstrapped with configuration(cluster=14743427783249990189, prev_token=8232372956669831928, this_token=8232372956669831928, version=10, command=[9248345104831381057, 372708710594940062, 2635933066124638357, 9469506231137051387], config=[9248345104831381057, 372708710594940062, 2635933066124638357, 9469506231137051387], members=[chain_node(bind_to=192.168.100.2:1982, token=372708710594940062), chain_node(bind_to=192.168.100.3:1982, token=2635933066124638357), chain_node(bind_to=192.168.100.1:1982, token=9248345104831381057), chain_node(bind_to=192.168.100.4:1982, token=9469506231137051387)])
I0129 17:10:43.766296     1 daemon.cc:419] registering with the head of the configuration: chain_node(bind_to=192.168.100.1:1982, token=9248345104831381057)
I0129 17:10:43.767823     1 daemon.cc:466] started new cluster from command-line arguments: configuration(cluster=14743427783249990189, prev_token=8232372956669831928, this_token=8232372956669831928, version=11, command=[9248345104831381057, 372708710594940062, 2635933066124638357, 9469506231137051387], config=[9248345104831381057, 372708710594940062, 2635933066124638357, 9469506231137051387], members=[chain_node(bind_to=192.168.100.2:1982, token=372708710594940062), chain_node(bind_to=192.168.100.3:1982, token=2635933066124638357), chain_node(bind_to=192.168.100.1:1982, token=9248345104831381057), chain_node(bind_to=192.168.100.4:1982, token=9469506231137051387), chain_node(bind_to=192.168.100.5:1982, token=13326773463663920508)])
I0129 17:10:43.767843     1 daemon.cc:467] joined existing cluster as chain_node(bind_to=192.168.100.5:1982, token=13326773463663920508): configuration(cluster=14743427783249990189, prev_token=8232372956669831928, this_token=8232372956669831928, version=11, command=[9248345104831381057, 372708710594940062, 2635933066124638357, 9469506231137051387], config=[9248345104831381057, 372708710594940062, 2635933066124638357, 9469506231137051387], members=[chain_node(bind_to=192.168.100.2:1982, token=372708710594940062), chain_node(bind_to=192.168.100.3:1982, token=2635933066124638357), chain_node(bind_to=192.168.100.1:1982, token=9248345104831381057), chain_node(bind_to=192.168.100.4:1982, token=9469506231137051387), chain_node(bind_to=192.168.100.5:1982, token=13326773463663920508)])
I0129 17:10:43.790743     1 daemon.cc:635] resuming normal operation
I0129 17:10:43.790779     1 daemon.cc:1372] deploying configuration configuration(cluster=14743427783249990189, prev_token=8232372956669831928, this_token=8232372956669831928, version=11, command=[9248345104831381057, 372708710594940062, 2635933066124638357, 9469506231137051387], config=[9248345104831381057, 372708710594940062, 2635933066124638357, 9469506231137051387], members=[chain_node(bind_to=192.168.100.2:1982, token=372708710594940062), chain_node(bind_to=192.168.100.3:1982, token=2635933066124638357), chain_node(bind_to=192.168.100.1:1982, token=9248345104831381057), chain_node(bind_to=192.168.100.4:1982, token=9469506231137051387), chain_node(bind_to=192.168.100.5:1982, token=13326773463663920508)])
I0129 17:10:43.791146     1 daemon.cc:1438] the latest stable configuration is configuration(cluster=14743427783249990189, prev_token=8232372956669831928, this_token=8232372956669831928, version=11, command=[9248345104831381057, 372708710594940062, 2635933066124638357, 9469506231137051387], config=[9248345104831381057, 372708710594940062, 2635933066124638357, 9469506231137051387], members=[chain_node(bind_to=192.168.100.2:1982, token=372708710594940062), chain_node(bind_to=192.168.100.3:1982, token=2635933066124638357), chain_node(bind_to=192.168.100.1:1982, token=9248345104831381057), chain_node(bind_to=192.168.100.4:1982, token=9469506231137051387), chain_node(bind_to=192.168.100.5:1982, token=13326773463663920508)])
