I0129 17:10:42.845134     1 daemon.cc:318] running in the foreground
I0129 17:10:42.845239     1 daemon.cc:319] no log will be generated; instead, the log messages will print to the terminal
I0129 17:10:42.845247     1 daemon.cc:320] provide "--daemon" on the command-line if you want to run in the background
I0129 17:10:42.879686     1 daemon.cc:368] starting new daemon from command-line arguments using 192.168.100.1:1982,192.168.100.2:1982,192.168.100.3:1982,192.168.100.4:1982,192.168.100.5:1982 as our bootstrap node
I0129 17:10:42.880538     1 daemon.cc:398] successfully bootstrapped with configuration(cluster=14743427783249990189, prev_token=8232372956669831928, this_token=8232372956669831928, version=7, command=[9248345104831381057, 372708710594940062, 2635933066124638357], config=[9248345104831381057, 372708710594940062, 2635933066124638357], members=[chain_node(bind_to=192.168.100.2:1982, token=372708710594940062), chain_node(bind_to=192.168.100.3:1982, token=2635933066124638357), chain_node(bind_to=192.168.100.1:1982, token=9248345104831381057)])
I0129 17:10:42.880592     1 daemon.cc:419] registering with the head of the configuration: chain_node(bind_to=192.168.100.1:1982, token=9248345104831381057)
I0129 17:10:42.881969     1 daemon.cc:466] started new cluster from command-line arguments: configuration(cluster=14743427783249990189, prev_token=8232372956669831928, this_token=8232372956669831928, version=8, command=[9248345104831381057, 372708710594940062, 2635933066124638357], config=[9248345104831381057, 372708710594940062, 2635933066124638357], members=[chain_node(bind_to=192.168.100.2:1982, token=372708710594940062), chain_node(bind_to=192.168.100.3:1982, token=2635933066124638357), chain_node(bind_to=192.168.100.1:1982, token=9248345104831381057), chain_node(bind_to=192.168.100.4:1982, token=9469506231137051387)])
I0129 17:10:42.881988     1 daemon.cc:467] joined existing cluster as chain_node(bind_to=192.168.100.4:1982, token=9469506231137051387): configuration(cluster=14743427783249990189, prev_token=8232372956669831928, this_token=8232372956669831928, version=8, command=[9248345104831381057, 372708710594940062, 2635933066124638357], config=[9248345104831381057, 372708710594940062, 2635933066124638357], members=[chain_node(bind_to=192.168.100.2:1982, token=372708710594940062), chain_node(bind_to=192.168.100.3:1982, token=2635933066124638357), chain_node(bind_to=192.168.100.1:1982, token=9248345104831381057), chain_node(bind_to=192.168.100.4:1982, token=9469506231137051387)])
I0129 17:10:42.904592     1 daemon.cc:635] resuming normal operation
I0129 17:10:42.904619     1 daemon.cc:1372] deploying configuration configuration(cluster=14743427783249990189, prev_token=8232372956669831928, this_token=8232372956669831928, version=8, command=[9248345104831381057, 372708710594940062, 2635933066124638357], config=[9248345104831381057, 372708710594940062, 2635933066124638357], members=[chain_node(bind_to=192.168.100.2:1982, token=372708710594940062), chain_node(bind_to=192.168.100.3:1982, token=2635933066124638357), chain_node(bind_to=192.168.100.1:1982, token=9248345104831381057), chain_node(bind_to=192.168.100.4:1982, token=9469506231137051387)])
I0129 17:10:42.904919     1 daemon.cc:1438] the latest stable configuration is configuration(cluster=14743427783249990189, prev_token=8232372956669831928, this_token=8232372956669831928, version=8, command=[9248345104831381057, 372708710594940062, 2635933066124638357], config=[9248345104831381057, 372708710594940062, 2635933066124638357], members=[chain_node(bind_to=192.168.100.2:1982, token=372708710594940062), chain_node(bind_to=192.168.100.3:1982, token=2635933066124638357), chain_node(bind_to=192.168.100.1:1982, token=9248345104831381057), chain_node(bind_to=192.168.100.4:1982, token=9469506231137051387)])
I0129 17:10:42.904934     1 daemon.cc:1439] the latest proposed configuration is configuration(cluster=14743427783249990189, prev_token=8232372956669831928, this_token=8232372956669831928, version=8, command=[9248345104831381057, 372708710594940062, 2635933066124638357], config=[9248345104831381057, 372708710594940062, 2635933066124638357], members=[chain_node(bind_to=192.168.100.2:1982, token=372708710594940062), chain_node(bind_to=192.168.100.3:1982, token=2635933066124638357), chain_node(bind_to=192.168.100.1:1982, token=9248345104831381057), chain_node(bind_to=192.168.100.4:1982, token=9469506231137051387)])
W0129 17:10:42.904944     1 daemon.cc:1445] the most recently deployed configuration can tolerate at most 1 failures which is less than the 2 failures the cluster is expected to tolerate; bring 2 more servers online to restore 2-fault tolerance
I0129 17:10:42.904973     1 daemon.cc:2275] we are chain_node(bind_to=192.168.100.4:1982, token=9469506231137051387) and here's some info: issued <=1 | acked <=1
I0129 17:10:42.904980     1 daemon.cc:2278] our stable configuration is configuration(cluster=14743427783249990189, prev_token=8232372956669831928, this_token=8232372956669831928, version=8, command=[9248345104831381057, 372708710594940062, 2635933066124638357], config=[9248345104831381057, 372708710594940062, 2635933066124638357], members=[chain_node(bind_to=192.168.100.2:1982, token=372708710594940062), chain_node(bind_to=192.168.100.3:1982, token=2635933066124638357), chain_node(bind_to=192.168.100.1:1982, token=9248345104831381057), chain_node(bind_to=192.168.100.4:1982, token=9469506231137051387)])
I0129 17:10:42.904989     1 daemon.cc:2279] the suffix of the chain stabilized through 0
I0129 17:10:42.932416     1 daemon.cc:960] received proposal 18129404513414506362:1422551450715974656 from server=2635933066124638357
I0129 17:10:42.932471     1 daemon.cc:1115] proposal 18129404513414506362:1422551450715974656 hit the config_tail; adopting
I0129 17:10:42.932485     1 daemon.cc:1372] deploying configuration configuration(cluster=14743427783249990189, prev_token=8232372956669831928, this_token=8232372956669831928, version=9, command=[9248345104831381057, 372708710594940062, 2635933066124638357], config=[9248345104831381057, 372708710594940062, 2635933066124638357, 9469506231137051387], members=[chain_node(bind_to=192.168.100.2:1982, token=372708710594940062), chain_node(bind_to=192.168.100.3:1982, token=2635933066124638357), chain_node(bind_to=192.168.100.1:1982, token=9248345104831381057), chain_node(bind_to=192.168.100.4:1982, token=9469506231137051387)])
I0129 17:10:42.932548     1 daemon.cc:1438] the latest stable configuration is configuration(cluster=14743427783249990189, prev_token=8232372956669831928, this_token=8232372956669831928, version=9, command=[9248345104831381057, 372708710594940062, 2635933066124638357], config=[9248345104831381057, 372708710594940062, 2635933066124638357, 9469506231137051387], members=[chain_node(bind_to=192.168.100.2:1982, token=372708710594940062), chain_node(bind_to=192.168.100.3:1982, token=2635933066124638357), chain_node(bind_to=192.168.100.1:1982, token=9248345104831381057), chain_node(bind_to=192.168.100.4:1982, token=9469506231137051387)])
I0129 17:10:42.932569     1 daemon.cc:1439] the latest proposed configuration is configuration(cluster=14743427783249990189, prev_token=8232372956669831928, this_token=8232372956669831928, version=9, command=[9248345104831381057, 372708710594940062, 2635933066124638357], config=[9248345104831381057, 372708710594940062, 2635933066124638357, 9469506231137051387], members=[chain_node(bind_to=192.168.100.2:1982, token=372708710594940062), chain_node(bind_to=192.168.100.3:1982, token=2635933066124638357), chain_node(bind_to=192.168.100.1:1982, token=9248345104831381057), chain_node(bind_to=192.168.100.4:1982, token=9469506231137051387)])
W0129 17:10:42.932579     1 daemon.cc:1445] the most recently deployed configuration can tolerate at most 1 failures which is less than the 2 failures the cluster is expected to tolerate; bring 1 more servers online to restore 2-fault tolerance
